REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|Americas||2|1.0|2,500,000|0|< 5%
ABERTIS INFRAESTRUCTURAS, S.A.|Europe||1|0.3|2,500,000|0|> 95%
ABU DHABI|Europe|Y|6|2.7|2,500,000|0|> 95%
ABU DHABI NATIONAL ENERGY COMPANY|Europe|Y|1|0.3|2,500,000|0|> 95%
ACCOR|Europe|Y|8|5.0|5,000,000|1|> 95%
ACOM CO., LTD.|Japan|Y|3|1.7|2,500,000|0|> 95%
ADECCO GROUP AG|Europe||5|1.7|2,500,000|1|> 95%
ADVANCED MICRO DEVICES, INC.|Americas|Y|8|6.3|5,000,000|2|< 5%
AEGON N.V.|Europe|Y|11|9.3|15,000,000|3|> 95%
AEON CO., LTD.|Japan|Y|5|2.3|2,500,000|0|> 95%
AETNA INC.|Americas|Y|8|4.7|5,000,000|1|< 5%
AGRICULTURAL BANK OF CHINA LIMITED|Asia Ex-Japan||1|0.3|2,500,000|0|> 95%
AIR FRANCE - KLM|Europe|Y|9|7.0|7,500,000|2|> 95%
AIRBUS SE|Europe|Y|9|6.3|12,500,000|1|> 95%
AK STEEL CORPORATION|Americas|Y|9|8.7|12,500,000|4|< 5%
AKBANK TURK ANONIM SIRKETI|Europe|Y|1|0.3|2,500,000|0|> 95%
AKTIEBOLAGET ELECTROLUX|Europe|Y|9|5.0|7,500,000|1|> 95%
AKTIEBOLAGET SKF|Europe||1|0.3|2,500,000|0|> 95%
AKTIEBOLAGET VOLVO|Europe|Y|9|6.7|12,500,000|2|> 95%
AKZO NOBEL N.V.|Europe|Y|10|7.0|7,500,000|1|> 95%
ALCATEL LUCENT|Europe|Y|5|2.0|2,500,000|0|> 95%
ALCATEL-LUCENT USA INC.|Americas|Y|3|1.0|2,500,000|0|< 5%
ALLIANCE BOOTS HOLDINGS LIMITED|Europe|Y|1|0.3|2,500,000|0|> 95%
ALLIANZ SE|Europe|Y|12|9.3|12,500,000|2|> 95%
ALLY FINANCIAL INC.|Americas|Y|9|6.3|10,000,000|2|< 5%
ALSTOM|Europe|Y|4|2.0|2,500,000|0|> 95%
ALTICE FINCO S.A.|Europe|Y|8|7.3|15,000,000|3|> 95%
ALTICE FRANCE|Europe||10|8.3|17,500,000|6|> 95%
ALTICE LUXEMBOURG S.A.|Europe||5|4.0|5,000,000|2|> 95%
ALTRIA GROUP, INC.|Americas|Y|8|4.3|7,500,000|1|< 5%
AMCOR LTD|Australia NZ|Y|2|0.7|2,500,000|0|> 95%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|Americas|Y|3|1.7|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|Americas|Y|7|5.3|5,000,000|2|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|Americas|Y|9|7.3|15,000,000|4|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|Americas|Y|9|5.0|5,000,000|1|< 5%
AMERICAN EXPRESS COMPANY|Americas|Y|7|3.3|5,000,000|0|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|Americas|Y|9|7.3|12,500,000|2|< 5%
AMGEN INC.|Americas|Y|9|6.3|5,000,000|1|< 5%
AMKOR TECHNOLOGY, INC.|Americas|Y|8|4.3|5,000,000|1|< 5%
AMP GROUP HOLDINGS LIMITED|Australia NZ|Y|2|0.7|2,500,000|0|> 95%
ANA HOLDINGS INC.|Japan|Y|2|1.3|2,500,000|1|> 95%
ANADARKO PETROLEUM CORPORATION|Americas|Y|11|8.7|20,000,000|3|< 5%
ANDEAVOR|Americas|Y|6|3.3|5,000,000|1|< 5%
ANGLO AMERICAN PLC|Europe|Y|12|9.7|15,000,000|4|> 95%
ANGLOGOLD ASHANTI LIMITED|Europe||1|0.3|2,500,000|0|> 95%
ANHEUSER-BUSCH INBEV|Europe|Y|10|8.3|50,000,000|5|> 95%
APACHE CORPORATION|Americas|Y|9|6.3|12,500,000|2|< 5%
ARAB REPUBLIC OF EGYPT|Europe|Y|5|3.0|2,500,000|0|> 95%
ARAMARK SERVICES, INC.|Americas|Y|5|1.7|2,500,000|0|< 5%
ARCELORMITTAL|Europe|Y|9|8.0|22,500,000|5|> 95%
ARCHER-DANIELS-MIDLAND COMPANY|Americas||1|0.3|2,500,000|0|< 5%
ARCONIC INC.|Americas|Y|7|7.0|12,500,000|3|< 5%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|Europe|Y|9|6.7|7,500,000|2|> 95%
ARGENTINE REPUBLIC|Americas|Y|11|11.0|350,000,000|89|> 95%
ARROW ELECTRONICS, INC.|Americas|Y|10|7.3|10,000,000|2|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|Europe|Y|12|10.7|25,000,000|6|> 95%
ASSURED GUARANTY CORP.|Americas||2|0.7|2,500,000|0|< 5%
ASSURED GUARANTY MUNICIPAL CORP.|Americas|Y|10|5.0|5,000,000|1|< 5%
ASTALDI SOCIETA PER AZIONI|Europe|Y|9|7.0|7,500,000|4|> 95%
ASTRAZENECA PLC|Europe|Y|7|3.0|2,500,000|0|> 95%
AT&T INC.|Americas|Y|11|9.3|50,000,000|6|< 5%
ATLANTIA S.P.A.|Europe|Y|10|8.0|15,000,000|6|> 95%
AUCHAN HOLDING|Europe|Y|8|4.3|5,000,000|1|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|Australia NZ|Y|9|7.3|22,500,000|3|> 95%
AUTOZONE, INC.|Americas|Y|9|7.7|12,500,000|2|< 5%
AVIS BUDGET CAR RENTAL, LLC|Americas|Y|2|0.7|2,500,000|0|< 5%
AVIS BUDGET GROUP, INC.|Americas|Y|10|7.7|22,500,000|7|< 5%
AVIVA PLC|Europe|Y|11|10.7|17,500,000|2|> 95%
AVNET, INC.|Americas|Y|9|7.3|10,000,000|2|< 5%
AVON PRODUCTS, INC.|Americas|Y|10|8.3|15,000,000|7|< 5%
AXA|Europe|Y|12|10.0|50,000,000|4|> 95%
AXA EQUITABLE HOLDINGS, INC.|Americas||1|0.3|2,500,000|0|< 5%
BAE SYSTEMS PLC|Europe|Y|10|6.3|10,000,000|1|> 95%
BALL CORPORATION|Americas|Y|3|1.0|2,500,000|0|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|Europe|Y|4|2.3|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|Europe|Y|12|11.0|75,000,000|11|> 95%
BANCO BPM SOCIETA' PER AZIONI|Europe||7|4.3|5,000,000|1|> 95%
BANCO COMERCIAL PORTUGUES, S.A.|Europe|Y|3|2.0|2,500,000|0|> 95%
BANCO DE SABADELL, S.A.|Europe||3|1.3|2,500,000|0|> 95%
BANCO POPULAR ESPANOL, S.A.|Europe||1|0.3|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|Europe|Y|12|10.3|50,000,000|6|> 95%
BANK OF AMERICA CORPORATION|Americas|Y|10|7.7|15,000,000|2|< 5%
BANK OF CHINA LIMITED|Asia Ex-Japan|Y|11|7.7|50,000,000|2|> 95%
BANK OF INDIA|Asia Ex-Japan|Y|7|3.0|2,500,000|1|> 95%
BANKIA, S.A.|Europe||2|0.7|2,500,000|0|> 95%
BARCLAYS BANK PLC|Europe|Y|11|7.7|17,500,000|2|> 95%
BARCLAYS PLC|Europe|Y|12|9.3|20,000,000|4|> 95%
BARRICK GOLD CORPORATION|Americas|Y|11|8.3|17,500,000|4|< 5%
BASF PERSONAL CARE AND NUTRITION GMBH|Europe||1|0.3|2,500,000|0|> 95%
BASF SE|Europe|Y|7|5.0|5,000,000|1|> 95%
BAUSCH HEALTH COMPANIES INC.|Americas||4|1.7|2,500,000|0|< 5%
BAXTER INTERNATIONAL INC.|Americas|Y|9|5.7|5,000,000|1|< 5%
BAYER AKTIENGESELLSCHAFT|Europe|Y|10|7.7|17,500,000|4|> 95%
BAYERISCHE LANDESBANK|Europe|Y|5|1.7|2,500,000|0|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|Europe|Y|12|8.7|22,500,000|5|> 95%
BEAZER HOMES USA, INC.|Americas|Y|11|8.7|12,500,000|4|< 5%
BELO CORP.|Americas|Y|1|0.3|2,500,000|0|< 5%
BENI STABILI SOCIETA PER AZIONI SOCIETA DI INVESTIMENTO IMMOBILIARE QUOTATA|Europe|Y|6|2.7|2,500,000|0|> 95%
BERKSHIRE HATHAWAY INC.|Americas|Y|10|7.7|15,000,000|2|< 5%
BERTELSMANN SE & CO. KGAA|Europe|Y|6|2.7|2,500,000|0|> 95%
BEST BUY CO., INC.|Americas|Y|10|7.3|10,000,000|2|< 5%
BHP BILLITON LIMITED|Australia NZ|Y|8|5.7|10,000,000|1|> 95%
BLOCK FINANCIAL LLC|Americas|Y|10|7.3|5,000,000|1|< 5%
BNP PARIBAS|Europe|Y|13|10.3|22,500,000|4|> 95%
BOEING CAPITAL CORPORATION|Americas|Y|2|0.7|2,500,000|0|< 5%
BOMBARDIER INC.|Americas|Y|12|9.0|12,500,000|4|< 5%
BOPARAN FINANCE PLC|Europe|Y|10|6.3|5,000,000|2|> 95%
BORGWARNER INC.|Americas||2|0.7|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|Americas|Y|10|6.0|7,500,000|1|< 5%
BOUYGUES|Europe|Y|11|6.3|5,000,000|1|> 95%
BOYD GAMING CORPORATION|Americas|Y|6|4.3|2,500,000|1|< 5%
BP P.L.C.|Europe|Y|10|7.7|12,500,000|2|> 95%
BRISA - CONCESSAO RODOVIARIA, S.A.|Europe|Y|4|1.7|2,500,000|0|> 95%
BRISTOL-MYERS SQUIBB COMPANY|Americas|Y|9|5.7|5,000,000|1|< 5%
BRITISH AIRWAYS PLC|Europe|Y|7|3.3|2,500,000|0|> 95%
BRITISH AMERICAN TOBACCO P.L.C.|Europe|Y|9|6.0|10,000,000|2|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|Europe|Y|11|8.7|15,000,000|3|> 95%
BRUSH HOLDINGS LIMITED|Europe||1|0.3|2,500,000|0|> 95%
CA, INC.|Americas|Y|5|2.3|2,500,000|0|< 5%
