REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.33|Untranched|5|1.7|25,000,000|0
CDX.EM.34|Untranched|6|3.7|50,000,000|8
CDX.EM.35|Untranched|9|7.0|700,000,000|37
CDX.EM.36|Untranched|9|9.0|2,450,000,000|161
CDX.NA.HY.27|Untranched|1|0.3|25,000,000|0
CDX.NA.HY.28|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.29|Untranched|1|0.3|75,000,000|2
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.31|Tranched|6|5.3|50,000,000|2
CDX.NA.HY.31|Untranched|1|0.3|150,000,000|3
CDX.NA.HY.32|Untranched|2|1.0|150,000,000|1
CDX.NA.HY.33|Tranched|6|5.0|50,000,000|4
CDX.NA.HY.33|Untranched|2|0.7|200,000,000|3
CDX.NA.HY.34|Untranched|3|1.7|100,000,000|1
CDX.NA.HY.35|Untranched|5|2.3|275,000,000|6
CDX.NA.HY.36|Untranched|9|6.7|3,175,000,000|104
CDX.NA.HY.37|Untranched|9|8.3|8,325,000,000|462
CDX.NA.IG.27|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.28|Untranched|3|1.0|50,000,000|1
CDX.NA.IG.29|Untranched|1|0.3|150,000,000|1
CDX.NA.IG.30|Untranched|0|0.0|100,000,000|0
CDX.NA.IG.31|Tranched|5|3.7|75,000,000|2
CDX.NA.IG.31|Untranched|0|0.0|150,000,000|1
CDX.NA.IG.32|Untranched|1|0.3|75,000,000|0
CDX.NA.IG.33|Tranched|6|4.0|50,000,000|1
CDX.NA.IG.33|Untranched|3|1.0|350,000,000|2
CDX.NA.IG.34|Untranched|1|0.3|425,000,000|3
CDX.NA.IG.35|Untranched|7|3.3|650,000,000|6
CDX.NA.IG.36|Untranched|9|7.3|10,075,000,000|66
CDX.NA.IG.37|Tranched|5|4.7|250,000,000|4
CDX.NA.IG.37|Untranched|9|8.0|27,750,000,000|469
CMBX.NA.AAA.10|Untranched|8|3.7|25,000,000|1
CMBX.NA.AAA.8|Untranched|6|3.0|25,000,000|0
CMBX.NA.BBB-.6|Untranched|9|7.7|100,000,000|21
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|6|5.7|400,000,000|18
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 34|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 35|Untranched|6|2.7|150,000,000|5
ITRAXX ASIA EX-JAPAN IG SERIES 36|Untranched|8|6.7|500,000,000|40
