REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
A.P. MOLLER - MAERSK A/S|EUROPE||1|0.3|2,500,000|0|95%
ABU DHABI|SOVEREIGN|Y|4|2.0|5,000,000|1|95%
ACCOR|EUROPE|Y|7|4.0|7,500,000|2|95%
ACOM CO., LTD.|JAPAN|Y|2|0.7|2,500,000|0|95%
ADECCO GROUP AG|EUROPE||4|1.7|2,500,000|0|95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE|Y|4|1.7|2,500,000|0|95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|2|1.0|2,500,000|1|5%
AEGON N.V.|EUROPE|Y|7|5.0|5,000,000|1|95%
AEON CO., LTD.|JAPAN|Y|3|1.0|2,500,000|0|95%
AETNA INC.|AMERICAS|Y|1|0.3|2,500,000|0|5%
AGRICULTURAL BANK OF CHINA LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|95%
AIR FRANCE - KLM|EUROPE|Y|3|1.7|5,000,000|1|95%
AIRBUS SE|EUROPE|Y|10|7.7|50,000,000|3|95%
AK STEEL CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|5%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|2|0.7|2,500,000|0|95%
AKTIEBOLAGET VOLVO|EUROPE|Y|7|3.7|5,000,000|1|95%
AKZO NOBEL N.V.|EUROPE|Y|6|4.3|5,000,000|1|95%
ALGECO GLOBAL FINANCE PLC|EUROPE|Y|2|1.7|2,500,000|0|95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN|Y|5|2.7|2,500,000|0|95%
ALLIANZ SE|EUROPE|Y|7|3.7|2,500,000|1|95%
ALLY FINANCIAL INC.|AMERICAS|Y|6|2.7|5,000,000|2|5%
ALSTOM|EUROPE|Y|0|0.0|2,500,000|0|95%
ALTICE FINCO S.A.|EUROPE|Y|9|5.7|5,000,000|1|95%
ALTICE FRANCE|EUROPE|Y|11|8.0|7,500,000|1|95%
ALTICE FRANCE HOLDING S.A.|EUROPE||5|2.3|2,500,000|0|95%
ALTRIA GROUP, INC.|AMERICAS|Y|1|0.3|5,000,000|1|5%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|7|5.3|5,000,000|2|5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|7|6.0|5,000,000|2|5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|2|1.0|2,500,000|1|5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|4|1.7|5,000,000|1|5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|2|0.7|5,000,000|2|5%
AMGEN INC.|AMERICAS|Y|4|2.3|7,500,000|1|5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|3|1.0|2,500,000|1|5%
AMP GROUP HOLDINGS LIMITED|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|95%
ANA HOLDINGS INC.|JAPAN|Y|8|5.0|2,500,000|0|95%
ANGLO AMERICAN PLC|EUROPE|Y|9|6.0|10,000,000|2|95%
ANHEUSER-BUSCH INBEV|EUROPE|Y|9|6.7|20,000,000|2|95%
ANTERO RESOURCES CORPORATION|AMERICAS||3|1.7|2,500,000|0|5%
APACHE CORPORATION|AMERICAS|Y|7|5.0|7,500,000|4|5%
APPLE INC.|AMERICAS||0|0.0|2,500,000|0|5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|4|1.7|2,500,000|0|95%
ARAMARK SERVICES, INC.|AMERICAS|Y|0|0.0|2,500,000|0|5%
ARCELORMITTAL|EUROPE|Y|9|8.0|12,500,000|2|95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED>COMPANY|EUROPE|Y|8|2.7|2,500,000|0|95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|2|0.7|5,000,000|1|5%
ASHLAND LLC|AMERICAS|Y|4|2.0|2,500,000|1|5%
