REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.34|Untranched|1|0.3|25,000,000|0
CDX.EM.35|Untranched|0|0.0|25,000,000|0
CDX.EM.36|Untranched|6|3.7|75,000,000|12
CDX.EM.37|Untranched|8|7.3|1,600,000,000|138
CDX.EM.38|Untranched|5|1.7|350,000,000|24
CDX.NA.HY.29|Untranched|2|0.7|25,000,000|0
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|1
CDX.NA.HY.31|Tranched|6|5.0|25,000,000|2
CDX.NA.HY.31|Untranched|3|1.0|100,000,000|2
CDX.NA.HY.32|Untranched|1|0.7|25,000,000|1
CDX.NA.HY.33|Tranched|5|4.0|25,000,000|2
CDX.NA.HY.33|Untranched|3|1.0|150,000,000|3
CDX.NA.HY.34|Untranched|1|0.3|25,000,000|0
CDX.NA.HY.35|Untranched|4|1.7|100,000,000|2
CDX.NA.HY.36|Untranched|2|0.7|50,000,000|1
CDX.NA.HY.37|Tranched|5|4.3|100,000,000|4
CDX.NA.HY.37|Untranched|7|4.7|300,000,000|10
CDX.NA.HY.38|Untranched|11|10.7|12,025,000,000|697
CDX.NA.IG.28|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.29|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.31|Tranched|5|3.0|25,000,000|1
CDX.NA.IG.31|Untranched|0|0.0|100,000,000|1
CDX.NA.IG.32|Untranched|1|0.3|25,000,000|0
CDX.NA.IG.33|Tranched|5|3.7|25,000,000|0
CDX.NA.IG.33|Untranched|1|0.7|100,000,000|1
CDX.NA.IG.34|Untranched|2|1.0|125,000,000|1
CDX.NA.IG.35|Untranched|1|0.7|100,000,000|1
CDX.NA.IG.36|Untranched|4|1.7|150,000,000|1
CDX.NA.IG.37|Tranched|5|4.7|150,000,000|2
CDX.NA.IG.37|Untranched|8|4.3|875,000,000|10
CDX.NA.IG.38|Untranched|10|9.3|41,550,000,000|688
CDX.NA.IG.39|Untranched|9|3.0|5,700,000,000|95
CMBX.NA.AAA.10|Untranched|5|3.0|25,000,000|1
CMBX.NA.AAA.8|Untranched|5|2.3|25,000,000|1
CMBX.NA.BBB-.6|Untranched|8|6.3|75,000,000|18
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|6|6.0|425,000,000|26
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 37|Untranched|8|6.7|400,000,000|27
ITRAXX ASIA EX-JAPAN IG SERIES 38|Untranched|2|0.7|125,000,000|3
ITRAXX AUSTRALIA SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX AUSTRALIA SERIES 37|Untranched|6|4.3|175,000,000|12
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|4|1.7|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|2|0.7|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|3|1.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|5|3.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|3|1.0|25,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|3|1.0|75,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|4|2.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 36|Tranched|5|4.7|100,000,000|5
ITRAXX EUROPE CROSSOVER SERIES 36|Untranched|9|7.3|550,000,000|18
ITRAXX EUROPE CROSSOVER SERIES 37|Untranched|11|11.0|11,075,000,000|557
ITRAXX EUROPE CROSSOVER SERIES 38|Untranched|10|3.3|1,125,000,000|53
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 34|Untranched|2|0.7|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 35|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 36|Untranched|4|2.3|150,000,000|2
ITRAXX EUROPE SENIOR FINANCIALS SERIES 37|Untranched|9|8.3|3,350,000,000|77
ITRAXX EUROPE SENIOR FINANCIALS SERIES 38|Untranched|6|2.0|600,000,000|8
ITRAXX EUROPE SERIES 28|Tranched|3|1.3|25,000,000|0
ITRAXX EUROPE SERIES 28|Untranched|3|1.3|150,000,000|1
ITRAXX EUROPE SERIES 29|Untranched|2|0.7|125,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|6|4.3|100,000,000|1
ITRAXX EUROPE SERIES 30|Untranched|2|0.7|325,000,000|3
ITRAXX EUROPE SERIES 31|Untranched|1|0.3|100,000,000|1
ITRAXX EUROPE SERIES 32|Tranched|6|5.0|75,000,000|2
ITRAXX EUROPE SERIES 32|Untranched|5|2.3|525,000,000|4
ITRAXX EUROPE SERIES 33|Untranched|2|0.7|150,000,000|2
ITRAXX EUROPE SERIES 34|Tranched|5|3.3|50,000,000|1
ITRAXX EUROPE SERIES 34|Untranched|1|0.7|350,000,000|4
ITRAXX EUROPE SERIES 35|Untranched|6|3.3|125,000,000|1
ITRAXX EUROPE SERIES 36|Tranched|5|5.0|125,000,000|3
ITRAXX EUROPE SERIES 36|Untranched|8|6.7|1,125,000,000|18
ITRAXX EUROPE SERIES 37|Untranched|11|9.7|43,725,000,000|573
ITRAXX EUROPE SERIES 38|Untranched|8|2.7|3,700,000,000|40
ITRAXX EUROPE SUB FINANCIALS SERIES 36|Untranched|2|0.7|25,000,000|1
ITRAXX EUROPE SUB FINANCIALS SERIES 37|Untranched|9|6.0|300,000,000|18
ITRAXX JAPAN SERIES 31|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX JAPAN SERIES 35|Untranched|3|1.3|25,000,000|0
