REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|AMERICAS||1|0.3|2,500,000|0|< 5%
ABERTIS INFRAESTRUCTURAS, S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
ABU DHABI|SOVEREIGN|Y|6|4.7|7,500,000|1|> 95%
ACCOR|EUROPE|Y|7|4.7|7,500,000|1|> 95%
ACOM CO., LTD.|JAPAN|Y|5|2.7|2,500,000|0|> 95%
ADECCO GROUP AG|EUROPE||0|0.0|2,500,000|0|> 95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE|Y|5|4.0|2,500,000|0|> 95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|3|1.7|2,500,000|1|< 5%
AEGON N.V.|EUROPE|Y|9|7.0|12,500,000|3|> 95%
AEON CO., LTD.|JAPAN|Y|7|4.0|2,500,000|0|> 95%
AETNA INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AIR FRANCE - KLM|EUROPE|Y|7|4.3|5,000,000|2|> 95%
AIRBUS SE|EUROPE|Y|8|6.7|20,000,000|3|> 95%
AK STEEL CORPORATION|AMERICAS|Y|5|3.0|5,000,000|1|< 5%
AKBANK TURK ANONIM SIRKETI|EUROPE|Y|2|0.7|2,500,000|0|> 95%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|4|2.0|5,000,000|1|> 95%
AKTIEBOLAGET VOLVO|EUROPE|Y|7|4.0|5,000,000|1|> 95%
AKZO NOBEL N.V.|EUROPE|Y|6|3.0|5,000,000|1|> 95%
ALGECO GLOBAL FINANCE PLC|EUROPE|Y|3|2.0|2,500,000|0|> 95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN|Y|9|6.3|5,000,000|1|> 95%
ALLIANZ SE|EUROPE|Y|9|5.7|5,000,000|1|> 95%
ALLY FINANCIAL INC.|AMERICAS|Y|7|6.7|7,500,000|3|< 5%
ALSTOM|EUROPE|Y|3|1.3|2,500,000|0|> 95%
ALTICE FINCO S.A.|EUROPE|Y|6|5.7|5,000,000|2|> 95%
ALTICE FRANCE|EUROPE|Y|7|6.3|7,500,000|2|> 95%
ALTRIA GROUP, INC.|AMERICAS|Y|6|3.7|7,500,000|3|< 5%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|3.0|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|7|5.7|10,000,000|5|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|8|5.7|10,000,000|3|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|3|1.7|5,000,000|2|< 5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|6|3.3|7,500,000|2|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|7|4.0|10,000,000|3|< 5%
AMGEN INC.|AMERICAS|Y|7|4.0|10,000,000|2|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|4|1.7|2,500,000|0|< 5%
AMP GROUP HOLDINGS LIMITED|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|> 95%
ANA HOLDINGS INC.|JAPAN|Y|8|6.3|10,000,000|1|> 95%
ANGLO AMERICAN PLC|EUROPE|Y|9|5.0|17,500,000|3|> 95%
ANGLOGOLD ASHANTI LIMITED|EUROPE||2|0.7|2,500,000|0|> 95%
ANHEUSER-BUSCH INBEV|EUROPE|Y|9|5.7|17,500,000|3|> 95%
APACHE CORPORATION|AMERICAS|Y|7|6.0|15,000,000|6|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|4|2.0|2,500,000|0|> 95%
ARAMARK SERVICES, INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|12|7.7|20,000,000|4|> 95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE|Y|6|3.3|2,500,000|1|> 95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|8|4.0|7,500,000|3|< 5%
ASHLAND LLC|AMERICAS|Y|2|1.3|2,500,000|0|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE|Y|11|7.7|10,000,000|2|> 95%
ASSURED GUARANTY CORP.|AMERICAS||5|3.3|2,500,000|0|< 5%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|8|5.0|10,000,000|3|< 5%
ASTRAZENECA PLC|EUROPE|Y|3|1.0|5,000,000|1|> 95%
