REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|9|4.7|175,000,000|7
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|8|6.3|225,000,000|11
ITRAXX AUSTRALIA SERIES 32|Untranched|7|4.0|50,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 24|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 25|Untranched|2|1.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|1|0.3|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|2|1.3|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|4|2.3|25,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|4|2.0|75,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|5|3.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|10|9.7|1,100,000,000|42
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|10|9.7|2,350,000,000|170
ITRAXX EUROPE SENIOR FINANCIALS SERIES 24|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|1|0.7|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|2|0.7|25,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|10|5.3|350,000,000|8
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|11|8.7|1,150,000,000|35
ITRAXX EUROPE SERIES 24|Tranched|2|0.7|25,000,000|0
ITRAXX EUROPE SERIES 24|Untranched|2|0.7|25,000,000|0
ITRAXX EUROPE SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SERIES 26|Untranched|2|0.7|125,000,000|1
ITRAXX EUROPE SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SERIES 28|Tranched|5|3.7|25,000,000|1
ITRAXX EUROPE SERIES 28|Untranched|2|0.7|150,000,000|1
ITRAXX EUROPE SERIES 29|Untranched|5|3.0|50,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|5|4.0|75,000,000|1
ITRAXX EUROPE SERIES 30|Untranched|7|5.0|275,000,000|3
ITRAXX EUROPE SERIES 31|Untranched|7|4.7|275,000,000|3
ITRAXX EUROPE SERIES 32|Tranched|5|4.0|100,000,000|2
ITRAXX EUROPE SERIES 32|Untranched|10|9.3|4,650,000,000|49
ITRAXX EUROPE SERIES 33|Untranched|10|9.7|7,775,000,000|163
ITRAXX EUROPE SUB FINANCIALS SERIES 32|Untranched|10|6.3|50,000,000|3
ITRAXX JAPAN SERIES 31|Untranched|2|0.7|25,000,000|0
ITRAXX JAPAN SERIES 32|Untranched|12|8.0|125,000,000|7
ITRAXX JAPAN SERIES 33|Untranched|10|9.3|125,000,000|8
