REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|AMERICAS||1|0.3|2,500,000|0|<5%
ABERTIS INFRAESTRUCTURAS,           S.A.|EUROPE||3|1.0|2,500,000|0|>95%
ABU DHABI|SOVEREIGN|Y|7|4.7|2,500,000|0|>95%
ABU DHABI NATIONAL ENERGY           COMPANY|EUROPE|Y|2|1.0|2,500,000|0|>95%
ACCOR|EUROPE|Y|10|5.3|5,000,000|1|>95%
ACOM CO., LTD.|JAPAN|Y|6|2.3|2,500,000|0|>95%
ADECCO GROUP AG|EUROPE||3|2.0|2,500,000|0|>95%
ADLER REAL ESTATE           AKTIENGESELLSCHAFT|EUROPE|Y|5|3.3|2,500,000|1|>95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|7|5.3|5,000,000|1|<5%
AEGON N.V.|EUROPE|Y|11|9.0|7,500,000|1|>95%
AEON CO., LTD.|JAPAN|Y|4|2.3|2,500,000|0|>95%
AETNA INC.|AMERICAS|Y|8|6.3|2,500,000|0|5-25%
AIR FRANCE - KLM|EUROPE|Y|9|6.7|5,000,000|1|>95%
AIRBUS SE|EUROPE|Y|9|8.0|7,500,000|1|>95%
AK STEEL CORPORATION|AMERICAS|Y|9|7.0|7,500,000|3|<5%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|6|3.3|2,500,000|0|>95%
AKTIEBOLAGET VOLVO|EUROPE|Y|8|6.7|5,000,000|1|>95%
AKZO NOBEL N.V.|EUROPE|Y|9|5.7|5,000,000|1|>95%
ALCATEL LUCENT|EUROPE|Y|2|0.7|2,500,000|0|>95%
ALGECO GLOBAL FINANCE PLC|EUROPE|Y|5|2.7|2,500,000|0|>95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN||3|1.3|2,500,000|0|>95%
ALLIANZ SE|EUROPE|Y|10|8.0|5,000,000|1|>95%
ALLY FINANCIAL INC.|AMERICAS|Y|8|7.0|7,500,000|2|<5%
ALSTOM|EUROPE|Y|5|2.3|2,500,000|0|>95%
ALTICE FINCO S.A.|EUROPE|Y|8|7.0|7,500,000|1|>95%
ALTICE FRANCE|EUROPE||9|8.0|7,500,000|2|>95%
ALTICE LUXEMBOURG S.A.|EUROPE||5|4.3|2,500,000|1|>95%
ALTRIA GROUP, INC.|AMERICAS|Y|8|7.0|7,500,000|1|<5%
AMERICA MOVIL SOCIEDAD           ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|7|4.3|2,500,000|0|>95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|8|5.3|2,500,000|1|<5%
AMERICAN AXLE &           MANUFACTURING, INC.|AMERICAS|Y|9|8.0|10,000,000|3|<5%
AMERICAN ELECTRIC POWER           COMPANY, INC.|AMERICAS|Y|8|5.0|2,500,000|0|<5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|9|6.0|5,000,000|1|<5%
AMERICAN INTERNATIONAL GROUP,           INC.|AMERICAS|Y|7|7.0|10,000,000|1|<5%
AMGEN INC.|AMERICAS|Y|9|7.0|5,000,000|1|<5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|8|5.7|5,000,000|1|<5%
AMP GROUP HOLDINGS LIMITED|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|>95%
ANA HOLDINGS INC.|JAPAN|Y|3|1.3|2,500,000|0|>95%
ANADARKO PETROLEUM           CORPORATION|AMERICAS|Y|9|8.3|10,000,000|2|<5%
ANGLO AMERICAN PLC|EUROPE|Y|11|9.3|10,000,000|2|>95%
ANGLOGOLD ASHANTI LIMITED|EUROPE||1|0.7|2,500,000|0|>95%
ANHEUSER-BUSCH COMPANIES, LLC|AMERICAS||1|0.3|2,500,000|0|<5%
ANHEUSER-BUSCH INBEV|EUROPE|Y|9|8.3|20,000,000|2|>95%
APACHE CORPORATION|AMERICAS|Y|8|7.7|7,500,000|2|<5%
APPLE INC.|AMERICAS||0|0.0|2,500,000|0|<5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|5|3.0|2,500,000|1|>95%
ARAMARK SERVICES, INC.|AMERICAS|Y|5|3.3|2,500,000|0|<5%
ARCELORMITTAL|EUROPE|Y|12|10.3|17,500,000|5|>95%
ARCONIC INC.|AMERICAS|Y|7|5.3|5,000,000|1|<5%
ARDAGH PACKAGING FINANCE           PUBLIC LIMITED COMPANY|EUROPE|Y|7|6.0|7,500,000|2|>95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|10|9.3|100,000,000|27|>95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|9|6.7|5,000,000|1|<5%
ASSICURAZIONI GENERALI -           SOCIETA PER AZIONI|EUROPE|Y|10|9.7|10,000,000|2|>95%
ASSURED GUARANTY CORP.|AMERICAS||3|1.3|2,500,000|0|<5%
ASSURED GUARANTY MUNICIPAL           CORP.|AMERICAS|Y|8|4.7|2,500,000|0|<5%
ASTRAZENECA PLC|EUROPE|Y|9|4.3|2,500,000|0|>95%
AT&T INC.|AMERICAS|Y|10|8.7|25,000,000|3|<5%
ATLANTIA S.P.A.|EUROPE|Y|8|6.3|5,000,000|1|>95%
AUCHAN HOLDING|EUROPE|Y|11|9.0|10,000,000|2|>95%
AUSNET SERVICES HOLDINGS PTY           LTD|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|>95%
AUSTRALIA AND NEW ZEALAND           BANKING GROUP LIMITED|AUSTRALIA NZ|Y|9|8.0|22,500,000|2|>95%
AUTOZONE, INC.|AMERICAS|Y|9|7.0|5,000,000|1|<5%
AVALONBAY COMMUNITIES, INC.|AMERICAS||1|0.3|2,500,000|0|<5%
AVIS BUDGET CAR RENTAL, LLC|AMERICAS|Y|1|0.3|2,500,000|0|<5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|9|7.7|10,000,000|4|<5%
AVIVA PLC|EUROPE|Y|11|8.7|7,500,000|1|>95%
AVNET, INC.|AMERICAS|Y|8|6.7|5,000,000|1|<5%
AVON PRODUCTS, INC.|AMERICAS|Y|9|7.3|7,500,000|2|<5%
AXA|EUROPE|Y|10|8.3|7,500,000|1|>95%
BAE SYSTEMS PLC|EUROPE|Y|8|4.3|5,000,000|1|>95%
BALL CORPORATION|AMERICAS|Y|6|2.7|2,500,000|0|<5%
BANCA MONTE DEI PASCHI DI           SIENA S.P.A.|EUROPE|Y|4|2.0|2,500,000|0|>95%
