REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.33|Untranched|6|3.0|25,000,000|1
CDX.EM.34|Untranched|5|2.7|50,000,000|1
CDX.EM.35|Untranched|9|8.7|825,000,000|60
CDX.NA.HY.27|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.28|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.29|Untranched|1|1.0|25,000,000|1
CDX.NA.HY.30|Untranched|0|0.0|25,000,000|0
CDX.NA.HY.31|Tranched|5|3.3|25,000,000|2
CDX.NA.HY.31|Untranched|3|1.3|75,000,000|2
CDX.NA.HY.32|Untranched|2|0.7|25,000,000|0
CDX.NA.HY.33|Tranched|6|4.3|50,000,000|4
CDX.NA.HY.33|Untranched|6|2.3|100,000,000|3
CDX.NA.HY.34|Untranched|4|2.0|75,000,000|2
CDX.NA.HY.35|Untranched|7|4.7|225,000,000|8
CDX.NA.HY.36|Untranched|9|7.7|4,575,000,000|307
CDX.NA.IG.27|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.28|Untranched|2|0.7|25,000,000|0
CDX.NA.IG.29|Untranched|0|0.0|75,000,000|0
CDX.NA.IG.30|Untranched|1|0.3|25,000,000|0
CDX.NA.IG.31|Tranched|3|2.3|25,000,000|0
CDX.NA.IG.31|Untranched|2|0.7|100,000,000|1
CDX.NA.IG.32|Untranched|2|0.7|25,000,000|0
CDX.NA.IG.33|Tranched|4|3.0|25,000,000|1
CDX.NA.IG.33|Untranched|1|0.3|125,000,000|1
CDX.NA.IG.34|Untranched|1|0.3|225,000,000|2
CDX.NA.IG.35|Untranched|6|2.7|575,000,000|5
CDX.NA.IG.36|Untranched|9|8.0|14,350,000,000|245
CMBX.NA.AAA.10|Untranched|5|3.0|25,000,000|2
CMBX.NA.AAA.8|Untranched|6|2.7|50,000,000|1
CMBX.NA.BBB-.6|Untranched|7|6.7|50,000,000|15
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|6|5.3|325,000,000|15
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 34|Untranched|2|1.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 35|Untranched|8|6.3|275,000,000|19
ITRAXX AUSTRALIA SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX AUSTRALIA SERIES 35|Untranched|6|2.3|75,000,000|5
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|1|0.7|100,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|3|1.3|75,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|3|1.3|25,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|6|3.7|200,000,000|6
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|10|8.3|2,825,000,000|191
ITRAXX EUROPE SENIOR FINANCIALS SERIES 26|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|0|0.0|25,000,000|0
