REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|AMERICAS||2|0.7|2,500,000|0|< 5%
ABU DHABI|SOVEREIGN|Y|4|1.7|17,500,000|3|75-95%
ACCOR|EUROPE|Y|6|3.3|10,000,000|3|> 95%
ACOM CO., LTD.|JAPAN||5|2.3|2,500,000|1|> 95%
ADECCO GROUP AG|EUROPE|Y|0|0.0|12,500,000|2|75-95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE||3|1.0|10,000,000|3|25-75%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|3|1.3|15,000,000|3|< 5%
AEGON N.V.|EUROPE|Y|9|6.7|75,000,000|10|75-95%
AEON CO., LTD.|JAPAN||3|1.3|2,500,000|0|> 95%
AETNA INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AIRBUS SE|EUROPE|Y|7|3.7|150,000,000|12|75-95%
AIR FRANCE - KLM|EUROPE|Y|5|2.3|50,000,000|9|75-95%
AKTIEBOLAGET ELECTROLUX|EUROPE||4|1.7|50,000,000|7|> 95%
AKTIEBOLAGET VOLVO|EUROPE||6|3.3|50,000,000|9|75-95%
AKZO NOBEL N.V.|EUROPE||7|3.0|15,000,000|4|75-95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN||3|1.3|2,500,000|1|75-95%
ALLIANZ SE|EUROPE|Y|8|5.7|50,000,000|8|75-95%
ALLY FINANCIAL INC.|AMERICAS|Y|4|1.3|17,500,000|7|< 5%
ALSTOM|EUROPE|Y|3|2.3|50,000,000|9|75-95%
ALTICE FINCO S.A.|EUROPE||6|2.7|17,500,000|4|25-75%
ALTICE FRANCE|EUROPE|Y|7|4.3|50,000,000|12|75-95%
ALTICE FRANCE HOLDING S.A.|EUROPE||0|0.0|2,500,000|0|< 5%
ALTRIA GROUP, INC.|AMERICAS|Y|3|1.3|10,000,000|3|< 5%
AMAZON.COM, INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|2|0.7|2,500,000|0|75-95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|6|3.7|50,000,000|11|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|4|1.7|7,500,000|3|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|5|2.3|10,000,000|2|< 5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|3|1.3|10,000,000|2|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|3|1.0|12,500,000|4|< 5%
AMERICAN TOWER CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AMGEN INC.|AMERICAS|Y|5|2.3|50,000,000|5|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
ANA HOLDINGS INC.|JAPAN||7|4.0|5,000,000|1|75-95%
ANGLO AMERICAN PLC|EUROPE||8|5.0|22,500,000|7|75-95%
ANHEUSER-BUSCH INBEV|EUROPE||7|2.7|125,000,000|9|75-95%
ANTERO RESOURCES CORPORATION|AMERICAS|Y|6|2.0|5,000,000|1|< 5%
ANYWHERE REAL ESTATE GROUP LLC|AMERICAS|Y|3|1.7|10,000,000|3|< 5%
APACHE CORPORATION|AMERICAS|Y|6|2.3|15,000,000|4|< 5%
APPLE INC.|AMERICAS||2|0.7|2,500,000|0|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|9|7.0|50,000,000|11|75-95%
ARAMARK SERVICES, INC.|AMERICAS|Y|3|1.3|5,000,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|10|6.0|50,000,000|7|75-95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE||6|3.0|25,000,000|7|75-95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|4|3.0|7,500,000|3|25-75%
ARROW ELECTRONICS, INC.|AMERICAS|Y|6|2.0|15,000,000|4|< 5%
ASHLAND INC.|AMERICAS|Y|4|2.3|2,500,000|1|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE||11|8.0|100,000,000|12|75-95%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|3|2.0|7,500,000|2|< 5%
ASTRAZENECA PLC|EUROPE|Y|4|1.7|100,000,000|6|> 95%
ATLANTIA S.P.A.|EUROPE||4|2.0|22,500,000|7|75-95%
AT&T INC.|AMERICAS|Y|9|4.3|150,000,000|26|< 5%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ||4|1.3|5,000,000|1|75-95%
AUTOSTRADE PER L'ITALIA S.P.A.|EUROPE||1|0.7|2,500,000|0|> 95%
AUTOZONE, INC.|AMERICAS|Y|4|2.0|10,000,000|2|< 5%
AVIENT CORPORATION|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
